time,x,y,cte,heading_error_deg,steering_deg
0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.010000,0.099313,0.011700,-0.000000,0.000000,0.000000
0.020000,0.198626,0.023399,-0.000000,0.001651,-0.011116
0.030000,0.297940,0.035098,0.000002,0.001239,-0.009238
0.040000,0.397253,0.046797,0.000004,0.004198,-0.029785
0.050000,0.496567,0.058494,0.000010,0.003095,-0.024611
0.060000,0.595880,0.070190,0.000015,0.007135,-0.053327
0.070000,0.695194,0.081883,0.000025,0.005160,-0.043826
0.080000,0.794509,0.093573,0.000032,0.010136,-0.079788
0.090000,0.893824,0.105259,0.000047,0.007181,-0.065238
0.100000,0.993139,0.116940,0.000056,0.013011,-0.107798
0.110000,1.092455,0.128616,0.000075,0.009019,-0.087715
0.120000,1.191772,0.140285,0.000086,0.015662,-0.136430
0.130000,1.291089,0.151948,0.000109,0.010609,-0.110512
0.140000,1.390408,0.163602,0.000122,0.018051,-0.165090
0.150000,1.489728,0.175248,0.000148,0.011936,-0.133168
0.160000,1.589048,0.186884,0.000161,0.020180,-0.193427
0.170000,1.688370,0.198509,0.000190,0.013016,-0.155422
0.180000,1.787693,0.210123,0.000203,0.022072,-0.221256
0.190000,1.887018,0.221726,0.000235,0.013877,-0.177155
0.200000,1.986344,0.233315,0.000248,0.023762,-0.248505
0.210000,2.085672,0.244891,0.000281,0.014558,-0.198333
0.220000,2.185001,0.256452,0.000294,0.025289,-0.275170
0.230000,2.284333,0.267998,0.000329,0.015098,-0.218978
0.240000,2.383666,0.279529,0.000340,0.026690,-0.301289
0.250000,2.483001,0.291042,0.000377,0.015531,-0.239142
0.260000,2.582338,0.302538,0.000388,0.027998,-0.326921
0.270000,2.681677,0.314016,0.000426,0.015890,-0.258889
0.280000,2.781018,0.325476,0.000435,0.029242,-0.352131
0.290000,2.880362,0.336915,0.000474,0.016200,-0.278283
0.300000,2.979707,0.348335,0.000482,0.030446,-0.376980
0.310000,3.079056,0.359733,0.000523,0.016483,-0.297386
0.320000,3.178406,0.371110,0.000528,0.031627,-0.401525
0.330000,3.277760,0.382464,0.000570,0.016756,-0.316251
0.340000,3.377116,0.393795,0.000574,0.032800,-0.425814
0.350000,3.476474,0.405103,0.000618,0.017029,-0.334921
0.360000,3.575836,0.416386,0.000620,0.033976,-0.449886
0.370000,3.675200,0.427644,0.000664,0.017313,-0.353432
0.380000,3.774567,0.438876,0.000664,0.035161,-0.473768
0.390000,3.873937,0.450081,0.000710,0.017614,-0.371809
0.400000,3.973311,0.461259,0.000708,0.036361,-0.497483
0.410000,4.072687,0.472409,0.000755,0.017935,-0.390072
0.420000,4.172067,0.483531,0.000751,0.037577,-0.521046
0.430000,4.271450,0.494624,0.000800,0.018279,-0.408233
0.440000,4.370836,0.505686,0.000793,0.038813,-0.544465
0.450000,4.470225,0.516719,0.000844,0.018647,-0.426299
0.460000,4.569618,0.527719,0.000835,0.040068,-0.567746
0.470000,4.669015,0.538688,0.000887,0.019040,-0.444275
0.480000,4.768415,0.549625,0.000876,0.041342,-0.590890
0.490000,4.867819,0.560528,0.000929,0.019457,-0.462162
0.500000,4.967227,0.571397,0.000916,0.042635,-0.613896
0.510000,5.066638,0.582232,0.000971,0.019897,-0.479959
0.520000,5.166053,0.593032,0.000955,0.043946,-0.636762
0.530000,5.265472,0.603796,0.001011,0.020361,-0.497663
0.540000,5.364895,0.614523,0.000994,0.045273,-0.659483
0.550000,5.464322,0.625213,0.001052,0.020847,-0.515271
0.560000,5.563753,0.635865,0.001032,0.046616,-0.682055
0.570000,5.663188,0.646479,0.001091,0.021354,-0.532778
0.580000,5.762627,0.657054,0.001069,0.047973,-0.704473
0.590000,5.862071,0.667589,0.001130,0.021881,-0.550180
0.600000,5.961519,0.678084,0.001106,0.049344,-0.726732
0.610000,6.060971,0.688537,0.001168,0.022426,-0.567473
0.620000,6.160427,0.698950,0.001141,0.050726,-0.748825
0.630000,6.259888,0.709319,0.001206,0.022990,-0.584651
0.640000,6.359353,0.719646,0.001177,0.052120,-0.770748
0.650000,6.458823,0.729930,0.001243,0.023572,-0.601710
0.660000,6.558298,0.740169,0.001211,0.053522,-0.792495
0.670000,6.657777,0.750363,0.001279,0.024169,-0.618644
0.680000,6.757260,0.760512,0.001245,0.054934,-0.814061
0.690000,6.856749,0.770615,0.001314,0.024781,-0.635450
0.700000,6.956242,0.780671,0.001278,0.056353,-0.835439
0.710000,7.055740,0.790680,0.001349,0.025408,-0.652122
0.720000,7.155242,0.800641,0.001311,0.057778,-0.856626
0.730000,7.254750,0.810554,0.001384,0.026048,-0.668657
0.740000,7.354262,0.820418,0.001342,0.059208,-0.877615
0.750000,7.453779,0.830232,0.001417,0.026701,-0.685048
0.760000,7.553302,0.839995,0.001374,0.060642,-0.898401
0.770000,7.652829,0.849708,0.001450,0.027366,-0.701293
0.780000,7.752361,0.859369,0.001404,0.062080,-0.918980
0.790000,7.851898,0.868978,0.001483,0.028041,-0.717386
0.800000,7.951441,0.878534,0.001434,0.063519,-0.939347
0.810000,8.050988,0.888037,0.001515,0.028726,-0.733323
0.820000,8.150541,0.897487,0.001463,0.064960,-0.959495
0.830000,8.250098,0.906881,0.001546,0.029420,-0.749101
0.840000,8.349661,0.916221,0.001492,0.066400,-0.979422
0.850000,8.449229,0.925505,0.001576,0.030122,-0.764713
0.860000,8.548803,0.934733,0.001520,0.067840,-0.999120
0.870000,8.648381,0.943905,0.001606,0.030832,-0.780157
0.880000,8.747965,0.953019,0.001547,0.069277,-1.018587
0.890000,8.847554,0.962075,0.001635,0.031547,-0.795428
0.900000,8.947148,0.971072,0.001574,0.070711,-1.037816
0.910000,9.046748,0.980011,0.001664,0.032269,-0.810522
0.920000,9.146353,0.988890,0.001601,0.072140,-1.056804
0.930000,9.245964,0.997709,0.001692,0.032995,-0.825434
0.940000,9.345579,1.006468,0.001626,0.073564,-1.075545
0.950000,9.445200,1.015165,0.001720,0.033724,-0.840161
0.960000,9.544827,1.023801,0.001651,0.074982,-1.094034
0.970000,9.644459,1.032374,0.001747,0.034457,-0.854698
0.980000,9.744096,1.040884,0.001676,0.076392,-1.112267
0.990000,9.843738,1.049331,0.001773,0.035191,-0.869040
1.000000,9.943386,1.057715,0.001700,0.077793,-1.130239
1.010000,10.043040,1.066034,0.001799,0.035927,-0.883185
1.020000,10.142698,1.074288,0.001723,0.079185,-1.147945
1.030000,10.242363,1.082476,0.001824,0.036663,-0.897127
1.040000,10.342032,1.090599,0.001746,0.080566,-1.165381
1.050000,10.441707,1.098655,0.001849,0.037398,-0.910863
1.060000,10.541387,1.106645,0.001768,0.081936,-1.182541
1.070000,10.641073,1.114567,0.001873,0.038132,-0.924389
1.080000,10.740764,1.122421,0.001790,0.083293,-1.199423
1.090000,10.840461,1.130206,0.001896,0.038863,-0.937700
1.100000,10.940163,1.137923,0.001811,0.084636,-1.216020
1.110000,11.039870,1.145570,0.001919,0.039592,-0.950793
1.120000,11.139582,1.153148,0.001831,0.085965,-1.232328
1.130000,11.239300,1.160655,0.001942,0.040316,-0.963663
1.140000,11.339023,1.168091,0.001852,0.087278,-1.248343
1.150000,11.438752,1.175456,0.001964,0.041036,-0.976307
1.160000,11.538485,1.182750,0.001871,0.088575,-1.264060
1.170000,11.638224,1.189971,0.001985,0.041751,-0.988721
1.180000,11.737968,1.197119,0.001890,0.089855,-1.279475
1.190000,11.837718,1.204194,0.002006,0.042459,-1.000901
1.200000,11.937472,1.211196,0.001909,0.091116,-1.294584
1.210000,12.037232,1.218124,0.002026,0.043160,-1.012844
1.220000,12.136997,1.224977,0.001927,0.092358,-1.309382
1.230000,12.236767,1.231756,0.002046,0.043854,-1.024544
1.240000,12.336542,1.238459,0.001944,0.093580,-1.323865
1.250000,12.436322,1.245086,0.002065,0.044539,-1.036000
1.260000,12.536107,1.251638,0.001961,0.094781,-1.338028
1.270000,12.635898,1.258112,0.002083,0.045215,-1.047207
1.280000,12.735693,1.264510,0.001978,0.095961,-1.351869
1.290000,12.835493,1.270830,0.002102,0.045882,-1.058161
1.300000,12.935298,1.277073,0.001994,0.097118,-1.365381
1.310000,13.035107,1.283237,0.002119,0.046538,-1.068860
1.320000,13.134922,1.289323,0.002009,0.098251,-1.378562
1.330000,13.234742,1.295330,0.002136,0.047184,-1.079299
1.340000,13.334566,1.301258,0.002024,0.099361,-1.391408
1.350000,13.434395,1.307106,0.002153,0.047817,-1.089475
1.360000,13.534228,1.312874,0.002039,0.100446,-1.403914
1.370000,13.634066,1.318561,0.002169,0.048439,-1.099386
1.380000,13.733909,1.324168,0.002218,0.007716,-0.842147
1.390000,13.833755,1.329711,0.002203,0.070313,-1.259082
1.400000,13.933605,1.335187,0.002285,0.023673,-0.973690
1.410000,14.033459,1.340591,0.002292,0.082179,-1.370962
1.420000,14.133317,1.345920,0.002391,0.031393,-1.063693
1.430000,14.233179,1.351170,0.002408,0.087323,-1.446882
1.440000,14.333045,1.356338,0.002514,0.033724,-1.122958
1.450000,14.432916,1.361424,0.002531,0.088193,-1.496591
1.460000,14.532791,1.366425,0.002637,0.032751,-1.160207
1.470000,14.632670,1.371340,0.002650,0.086550,-1.527828
1.480000,14.732553,1.376169,0.002752,0.029950,-1.182254
1.490000,14.832441,1.380910,0.002758,0.083619,-1.546540
1.500000,14.932332,1.385563,0.002854,0.026326,-1.194250
1.510000,15.032228,1.390127,0.002852,0.080213,-1.557157
1.520000,15.132128,1.394603,0.002942,0.022526,-1.199972
1.530000,15.232032,1.398990,0.002932,0.076838,-1.562870
1.540000,15.331939,1.403287,0.003016,0.018939,-1.202092
1.550000,15.431851,1.407495,0.002998,0.073785,-1.565892
1.560000,15.531766,1.411614,0.003077,0.015775,-1.202426
1.570000,15.631685,1.415643,0.003052,0.071196,-1.567694
1.580000,15.731607,1.419582,0.003126,0.013119,-1.202147
1.590000,15.831533,1.423433,0.003096,0.069113,-1.569195
1.600000,15.931462,1.427193,0.003166,0.010980,-1.201959
1.610000,16.031395,1.430865,0.003131,0.067518,-1.570918
1.620000,16.131331,1.434446,0.003198,0.009321,-1.202241
1.630000,16.231270,1.437938,0.003159,0.066360,-1.573120
1.640000,16.331212,1.441340,0.003224,0.008082,-1.203147
1.650000,16.431157,1.444653,0.003182,0.065573,-1.575877
1.660000,16.531105,1.447876,0.003245,0.007193,-1.204694
1.670000,16.631056,1.451009,0.003200,0.065087,-1.579156
1.680000,16.731010,1.454052,0.003263,0.006585,-1.206812
1.690000,16.830966,1.457005,0.003215,0.064836,-1.582862
1.700000,16.930925,1.459868,0.003277,0.006196,-1.209393
1.710000,17.030886,1.462641,0.003228,0.064759,-1.586875
1.720000,17.130850,1.465323,0.003290,0.005971,-1.212309
1.730000,17.230817,1.467915,0.003239,0.064808,-1.591066
1.740000,17.330786,1.470416,0.003301,0.005864,-1.215434
1.750000,17.430757,1.472826,0.003248,0.064941,-1.595313
1.760000,17.530730,1.475146,0.003310,0.005840,-1.218653
1.770000,17.630705,1.477375,0.003257,0.065127,-1.599508
1.780000,17.730682,1.479513,0.003319,0.005870,-1.221866
1.790000,17.830661,1.481559,0.003264,0.065341,-1.603559
1.800000,17.930642,1.483514,0.003326,0.005934,-1.224990
1.810000,18.030624,1.485378,0.003271,0.065565,-1.607390
1.820000,18.130609,1.487150,0.003333,0.006016,-1.227959
1.830000,18.230595,1.488831,0.003276,0.065787,-1.610943
1.840000,18.330582,1.490419,0.003339,0.006107,-1.230721
1.850000,18.430571,1.491916,0.003281,0.065997,-1.614172
1.860000,18.530561,1.493321,0.003344,0.006197,-1.233236
1.870000,18.630552,1.494634,0.003286,0.066191,-1.617043
1.880000,18.730545,1.495855,0.003349,0.006284,-1.235477
1.890000,18.830538,1.496983,0.003290,0.066364,-1.619532
1.900000,18.930533,1.498020,0.003353,0.006365,-1.237422
1.910000,19.030529,1.498964,0.003293,0.066514,-1.621622
1.920000,19.130525,1.499815,0.003356,0.006438,-1.239059
1.930000,19.230522,1.500574,0.003295,0.066642,-1.623301
1.940000,19.330520,1.501241,0.003359,0.006503,-1.240378
1.950000,19.430518,1.501815,0.003296,0.066746,-1.624562
1.960000,19.530517,1.502296,0.003360,0.006561,-1.241374
1.970000,19.630516,1.502685,0.003297,0.066828,-1.625402
1.980000,19.730516,1.502980,0.003361,0.006612,-1.242045
1.990000,19.830516,1.503184,0.003297,0.066887,-1.625817
2.000000,19.930516,1.503294,0.003361,0.006656,-1.242389
2.010000,20.030516,1.503312,0.003296,0.066925,-1.625808
2.020000,20.130516,1.503237,0.003361,0.006694,-1.242406
2.030000,20.230515,1.503070,0.003295,0.066943,-1.625375
2.040000,20.330515,1.502809,0.003359,0.006728,-1.242097
2.050000,20.430514,1.502456,0.003293,0.066941,-1.624518
2.060000,20.530513,1.502011,0.003357,0.006757,-1.241462
2.070000,20.630512,1.501472,0.003289,0.066919,-1.623238
2.080000,20.730510,1.500841,0.003354,0.006783,-1.240504
2.090000,20.830507,1.500118,0.003285,0.066879,-1.621538
2.100000,20.930504,1.499302,0.003350,0.006806,-1.239223
2.110000,21.030500,1.498393,0.003281,0.066821,-1.619417
2.120000,21.130495,1.497392,0.003345,0.006827,-1.237621
2.130000,21.230489,1.496299,0.003275,0.066745,-1.616878
2.140000,21.330482,1.495113,0.003339,0.006845,-1.235699
2.150000,21.430474,1.493836,0.003268,0.066653,-1.613922
2.160000,21.530464,1.492466,0.003332,0.006862,-1.233459
2.170000,21.630454,1.491004,0.003261,0.066543,-1.610550
2.180000,21.730442,1.489450,0.003325,0.006877,-1.230901
2.190000,21.830428,1.487804,0.003253,0.066417,-1.606764
2.200000,21.930413,1.486067,0.003317,0.006892,-1.228027
2.210000,22.030396,1.484238,0.003244,0.066276,-1.602565
2.220000,22.130378,1.482317,0.003307,0.006906,-1.224838
2.230000,22.230358,1.480305,0.003234,0.066118,-1.597955
2.240000,22.330335,1.478202,0.003297,0.006919,-1.221336
2.250000,22.430311,1.476008,0.003223,0.065945,-1.592936
2.260000,22.530285,1.473722,0.003286,0.006932,-1.217522
2.270000,22.630257,1.471346,0.003211,0.065757,-1.587508
2.280000,22.730227,1.468880,0.003275,0.006946,-1.213397
2.290000,22.830194,1.466322,0.003199,0.065554,-1.581675
2.300000,22.930159,1.463675,0.003262,0.006959,-1.208963
2.310000,23.030121,1.460937,0.003185,0.065337,-1.575437
2.320000,23.130081,1.458109,0.003248,0.006973,-1.204222
2.330000,23.230039,1.455192,0.003171,0.065105,-1.568797
2.340000,23.329993,1.452185,0.003234,0.006987,-1.199174
2.350000,23.429946,1.449088,0.003156,0.064859,-1.561758
2.360000,23.529895,1.445902,0.003219,0.007002,-1.193823
2.370000,23.629841,1.442627,0.003140,0.064599,-1.554320
2.380000,23.729785,1.439264,0.003202,0.007018,-1.188169
2.390000,23.829725,1.435811,0.003123,0.064326,-1.546487
2.400000,23.929662,1.432271,0.003185,0.007034,-1.182214
2.410000,24.029596,1.428642,0.003105,0.064039,-1.538261
2.420000,24.129527,1.424925,0.003167,0.007052,-1.175961
2.430000,24.229455,1.421121,0.003087,0.063739,-1.529645
2.440000,24.329379,1.417229,0.003149,0.007072,-1.169412
2.450000,24.429300,1.413250,0.003068,0.063425,-1.520642
2.460000,24.529217,1.409185,0.003129,0.007092,-1.162569
2.470000,24.629131,1.405032,0.003047,0.063099,-1.511254
2.480000,24.729041,1.400793,0.003109,0.007114,-1.155434
2.490000,24.828948,1.396468,0.003026,0.062760,-1.501485
2.500000,24.928850,1.392058,0.003087,0.007137,-1.148009
2.510000,25.028749,1.387561,0.003005,0.062409,-1.491338
2.520000,25.128644,1.382980,0.003065,0.007161,-1.140297
2.530000,25.228535,1.378313,0.002982,0.062045,-1.480816
2.540000,25.328422,1.373562,0.003042,0.007188,-1.132300
2.550000,25.428305,1.368726,0.002958,0.061669,-1.469922
2.560000,25.528184,1.363807,0.003019,0.007215,-1.124021
2.570000,25.628059,1.358803,0.002934,0.061280,-1.458661
2.580000,25.727929,1.353717,0.002994,0.007244,-1.115464
2.590000,25.827796,1.348547,0.002909,0.060880,-1.447035
2.600000,25.927658,1.343294,0.002969,0.007274,-1.106629
2.610000,26.027515,1.337959,0.002883,0.060467,-1.435048
2.620000,26.127368,1.332542,0.002942,0.007306,-1.097520
2.630000,26.227217,1.327044,0.002857,0.060043,-1.422705
2.640000,26.327061,1.321464,0.002915,0.007339,-1.088141
2.650000,26.426901,1.315802,0.002829,0.059606,-1.410009
2.660000,26.526736,1.310061,0.002888,0.007373,-1.078494
2.670000,26.626566,1.304239,0.002801,0.059158,-1.396964
2.680000,26.726392,1.298337,0.002859,0.007408,-1.068581
2.690000,26.826213,1.292355,0.002772,0.058697,-1.383575
2.700000,26.926029,1.286294,0.002830,0.007444,-1.058407
2.710000,27.025840,1.280155,0.002743,0.058225,-1.369845
2.720000,27.125647,1.273937,0.002800,0.007480,-1.047974
2.730000,27.225449,1.267641,0.002712,0.057740,-1.355780
2.740000,27.325245,1.261268,0.002769,0.007517,-1.037285
2.750000,27.425037,1.254817,0.002681,0.057244,-1.341383
2.760000,27.524824,1.248290,0.002738,0.007554,-1.026344
2.770000,27.624605,1.241686,0.002650,0.056735,-1.326659
2.780000,27.724382,1.235007,0.002706,0.007590,-1.015154
2.790000,27.824154,1.228252,0.002617,0.056214,-1.311613
2.800000,27.923920,1.221422,0.002673,0.007627,-1.003718
2.810000,28.023681,1.214517,0.002584,0.055680,-1.296248
2.820000,28.123438,1.207538,0.002640,0.007663,-0.992040
2.830000,28.223189,1.200485,0.002551,0.055134,-1.280572
2.840000,28.322934,1.193359,0.002605,0.007697,-0.980122
2.850000,28.422675,1.186160,0.002516,0.054575,-1.264586
2.860000,28.522410,1.178889,0.002571,0.007731,-0.967970
2.870000,28.622140,1.171546,0.002481,0.054003,-1.248298
2.880000,28.721865,1.164131,0.002535,0.007763,-0.955585
2.890000,28.821584,1.156645,0.002446,0.053418,-1.231712
2.900000,28.921299,1.149089,0.002499,0.007792,-0.942971
2.910000,29.021007,1.141463,0.002410,0.052820,-1.214832
2.920000,29.120711,1.133767,0.002463,0.007819,-0.930133
2.930000,29.220409,1.126002,0.002373,0.052208,-1.197664
2.940000,29.320101,1.118168,0.002426,0.007843,-0.917074
2.950000,29.419789,1.110267,0.002336,0.051582,-1.180213
2.960000,29.519471,1.102297,0.002388,0.007864,-0.903796
2.970000,29.619147,1.094261,0.002299,0.050942,-1.162485
2.980000,29.718818,1.086158,0.002350,0.007881,-0.890305
2.990000,29.818484,1.077989,0.002260,0.050287,-1.144484
3.000000,29.918145,1.069754,0.002311,0.007893,-0.876604
3.010000,30.017800,1.061454,0.002222,0.049618,-1.126216
3.020000,30.117449,1.053090,0.002272,0.007901,-0.862695
3.030000,30.217093,1.044661,0.002183,0.048934,-1.107686
